Team;Week
Con1;W10.2022
Con1;W11.2022
Con1;W12.2022
Con1;W13.2022
Con1;W14.2022
Con1;W15.2022
Con1;W16.2022
Con1;W17.2022
Con1;W18.2022
Con1;W19.2022
Con1;W20.2022
Con1;W21.2022
Con1;W22.2022
Con1;W23.2022
Con1;W24.2022
Con1;W25.2022
Con1;W26.2022
Con1;W27.2022
Con1;W28.2022
Con1;W29.2022
Con1;W30.2022
Con1;W31.2022
Con1;W32.2022
Con1;W33.2022
Con1;W34.2022
Con1;W35.2022
Con1;W36.2022
Con1;W37.2022
Con1;W38.2022
Con1;W39.2022
Con1;W40.2022
Con1;W41.2022
Con1;W42.2022
Con1;W43.2022
Con1;W44.2022
Con1;W45.2022
Con1;W46.2022
Con1;W47.2022
Con1;W48.2022
Con1;W49.2022
Con1;W50.2022
Con1;W51.2022
Con1;W52.2022
Con1;W01.2023
Con1;W02.2023
Con1;W03.2023
Con1;W04.2023
Con1;W05.2023
Con1;W06.2023
Con1;W07.2023
Con1;W08.2023
Con1;W09.2023
Con1;W10.2023
Con1;W11.2023
Con1;W12.2023
Con1;W13.2023
Con1;W14.2023
Con1;W15.2023
Con1;W16.2023
Con1;W17.2023
Con1;W18.2023
Con1;W19.2023
Con1;W20.2023
Con1;W21.2023
Con1;W22.2023
Con1;W23.2023
Con1;W24.2023
Con1;W25.2023
Con1;W26.2023
Con1;W27.2023
Con1;W28.2023
Con1;W29.2023
Con1;W30.2023
Con1;W31.2023
Con1;W32.2023
Con1;W33.2023
Con1;W34.2023
Con1;W35.2023
Con1;W36.2023
Con1;W37.2023
Con1;W38.2023
Con1;W39.2023
Con1;W40.2023
Con1;W41.2023
Con1;W42.2023
Con1;W43.2023
Con1;W44.2023
Con1;W45.2023
Con1;W46.2023
Con1;W47.2023
Con1;W48.2023
Con1;W49.2023
Con1;W50.2023
Con1;W51.2023
Con1;W52.2023
Con2;W01.2022
Con2;W02.2022
Con2;W03.2022
Con2;W04.2022
Con2;W05.2022
Con2;W06.2022
Con2;W07.2022
Con2;W08.2022
Con2;W09.2022
Con2;W10.2022
Con2;W11.2022
Con2;W12.2022
Con2;W13.2022
Con2;W14.2022
Con2;W15.2022
Con2;W16.2022
Con2;W17.2022
Con2;W18.2022
Con2;W19.2022
Con2;W20.2022
Con2;W21.2022
Con2;W22.2022
Con2;W23.2022
Con2;W24.2022
Con2;W25.2022
Con2;W26.2022
Con2;W27.2022
Con2;W28.2022
Con2;W29.2022
Con2;W30.2022
Con2;W31.2022
Con2;W32.2022
Con2;W33.2022
Con2;W34.2022
Con2;W35.2022
Con2;W36.2022
Con2;W37.2022
Con2;W38.2022
Con2;W39.2022
Con2;W40.2022
Con2;W41.2022
Con2;W42.2022
Con2;W43.2022
Con2;W44.2022
Con2;W45.2022
Con2;W46.2022
Con2;W47.2022
Con2;W48.2022
Con2;W49.2022
Con2;W50.2022
Con2;W51.2022
Con2;W52.2022
Con2;W01.2023
Con2;W02.2023
Con2;W03.2023
Con2;W04.2023
Con2;W05.2023
Con2;W06.2023
Con2;W07.2023
Con2;W08.2023
Con2;W09.2023
Con2;W10.2023
Con2;W11.2023
Con2;W12.2023
Con2;W13.2023
Con2;W14.2023
Con2;W15.2023
Con2;W16.2023
Con2;W17.2023
Con2;W18.2023
Con2;W19.2023
Con2;W20.2023
Con2;W21.2023
Con2;W22.2023
Con2;W23.2023
Con2;W24.2023
Con2;W25.2023
Con2;W26.2023
Con2;W27.2023
Con2;W28.2023
Con2;W29.2023
Con2;W30.2023
Con2;W31.2023
Con2;W32.2023
Con2;W33.2023
Con2;W34.2023
Con2;W35.2023
Con2;W36.2023
Con2;W37.2023
Con2;W38.2023
Con2;W39.2023
Con2;W40.2023
Con2;W41.2023
Con2;W42.2023
Con2;W43.2023
Con2;W44.2023
Con2;W45.2023
Con2;W46.2023
Con2;W47.2023
Con2;W48.2023
Con2;W49.2023
Con2;W50.2023
Con2;W51.2023
Con2;W52.2023
Con3;W01.2022
Con3;W02.2022
Con3;W03.2022
Con3;W04.2022
Con3;W05.2022
Con3;W06.2022
Con3;W07.2022
Con3;W08.2022
Con3;W09.2022
Con3;W10.2022
Con3;W11.2022
Con3;W12.2022
Con3;W13.2022
Con3;W14.2022
Con3;W15.2022
Con3;W16.2022
Con3;W17.2022
Con3;W18.2022
Con3;W19.2022
Con3;W20.2022
Con3;W21.2022
Con3;W22.2022
Con3;W23.2022
Con3;W24.2022
Con3;W25.2022
Con3;W26.2022
Con3;W27.2022
Con3;W28.2022
Con3;W29.2022
Con3;W30.2022
Con3;W31.2022
Con3;W32.2022
Con3;W33.2022
Con3;W34.2022
Con3;W35.2022
Con3;W36.2022
Con3;W37.2022
Con3;W38.2022
Con3;W39.2022
Con3;W40.2022
Con3;W41.2022
Con3;W42.2022
Con3;W43.2022
Con3;W44.2022
Con3;W45.2022
Con3;W46.2022
Con3;W47.2022
Con3;W48.2022
Con3;W49.2022
Con3;W50.2022
Con3;W51.2022
Con3;W52.2022
Con3;W01.2023
Con3;W02.2023
Con3;W03.2023
Con3;W04.2023
Con3;W05.2023
Con3;W06.2023
Con3;W07.2023
Con3;W08.2023
Con3;W09.2023
Con3;W10.2023
Con3;W11.2023
Con3;W12.2023
Con3;W13.2023
Con3;W14.2023
Con3;W15.2023
Con3;W16.2023
Con3;W17.2023
Con3;W18.2023
Con3;W19.2023
Con3;W20.2023
Con3;W21.2023
Con3;W22.2023
Con3;W23.2023
Con3;W24.2023
Con3;W25.2023
Con3;W26.2023
Con3;W27.2023
Con3;W28.2023
Con3;W29.2023
Con3;W30.2023
Con3;W31.2023
Con3;W32.2023
Con3;W33.2023
Con3;W34.2023
Con3;W35.2023
Con3;W36.2023
Con3;W37.2023
Con3;W38.2023
Con3;W39.2023
Con3;W40.2023
Con3;W41.2023
Con3;W42.2023
Con3;W43.2023
Con3;W44.2023
Con3;W45.2023
Con3;W46.2023
Con3;W47.2023
Con3;W48.2023
Con3;W49.2023
Con3;W50.2023
Con3;W51.2023
Con3;W52.2023
Con4;W01.2022
Con4;W02.2022
Con4;W03.2022
Con4;W04.2022
Con4;W05.2022
Con4;W06.2022
Con4;W07.2022
Con4;W08.2022
Con4;W09.2022
Con4;W10.2022
Con4;W11.2022
Con4;W12.2022
Con4;W13.2022
Con4;W14.2022
Con4;W15.2022
Con4;W16.2022
Con4;W17.2022
Con4;W18.2022
Con4;W19.2022
Con4;W20.2022
Con4;W21.2022
Con4;W22.2022
Con4;W23.2022
Con4;W24.2022
Con4;W25.2022
Con4;W26.2022
Con4;W27.2022
Con4;W28.2022
Con4;W29.2022
Con4;W30.2022
Con4;W31.2022
Con4;W32.2022
Con4;W33.2022
Con4;W34.2022
Con4;W35.2022
Con4;W36.2022
Con4;W37.2022
Con4;W38.2022
Con4;W39.2022
Con4;W40.2022
Con4;W41.2022
Con4;W42.2022
Con4;W43.2022
Con4;W44.2022
Con4;W45.2022
Con4;W46.2022
Con4;W47.2022
Con4;W48.2022
Con4;W49.2022
Con4;W50.2022
Con4;W51.2022
Con4;W52.2022
Con4;W01.2023
Con4;W02.2023
Con4;W03.2023
Con4;W04.2023
Con4;W05.2023
Con4;W06.2023
Con4;W07.2023
Con4;W08.2023
Con4;W09.2023
Con4;W10.2023
Con4;W11.2023
Con4;W12.2023
Con4;W13.2023
Con4;W14.2023
Con4;W15.2023
Con4;W16.2023
Con4;W17.2023
Con4;W18.2023
Con4;W19.2023
Con4;W20.2023
Con4;W21.2023
Con4;W22.2023
Con4;W23.2023
Con4;W24.2023
Con4;W25.2023
Con4;W26.2023
Con4;W27.2023
Con4;W28.2023
Con4;W29.2023
Con4;W30.2023
Con4;W31.2023
Con4;W32.2023
Con4;W33.2023
Con4;W34.2023
Con4;W35.2023
Con4;W36.2023
Con4;W37.2023
Con4;W38.2023
Con4;W39.2023
Con4;W40.2023
Con4;W41.2023
Con4;W42.2023
Con4;W43.2023
Con4;W44.2023
Con4;W45.2023
Con4;W46.2023
Con4;W47.2023
Con4;W48.2023
Con4;W49.2023
Con4;W50.2023
Con4;W51.2023
Con4;W52.2023
Mar1;W01.2022
Mar1;W02.2022
Mar1;W03.2022
Mar1;W04.2022
Mar1;W05.2022
Mar1;W06.2022
Mar1;W07.2022
Mar1;W08.2022
Mar1;W09.2022
Mar1;W10.2022
Mar1;W11.2022
Mar1;W12.2022
Mar1;W13.2022
Mar1;W14.2022
Mar1;W15.2022
Mar1;W16.2022
Mar1;W17.2022
Mar1;W18.2022
Mar1;W19.2022
Mar1;W20.2022
Mar1;W21.2022
Mar1;W22.2022
Mar1;W23.2022
Mar1;W24.2022
Mar1;W25.2022
Mar1;W26.2022
Mar1;W27.2022
Mar1;W28.2022
Mar1;W29.2022
Mar1;W30.2022
Mar1;W31.2022
Mar1;W32.2022
Mar1;W33.2022
Mar1;W34.2022
Mar1;W35.2022
Mar1;W36.2022
Mar1;W37.2022
Mar1;W38.2022
Mar1;W39.2022
Mar1;W40.2022
Mar1;W41.2022
Mar1;W42.2022
Mar1;W43.2022
Mar1;W44.2022
Mar1;W45.2022
Mar1;W46.2022
Mar1;W47.2022
Mar1;W48.2022
Mar1;W49.2022
Mar1;W50.2022
Mar1;W51.2022
Mar1;W52.2022
Mar1;W01.2023
Mar1;W02.2023
Mar1;W03.2023
Mar1;W04.2023
Mar1;W05.2023
Mar1;W06.2023
Mar1;W07.2023
Mar1;W08.2023
Mar1;W09.2023
Mar1;W10.2023
Mar1;W11.2023
Mar1;W12.2023
Mar1;W13.2023
Mar1;W14.2023
Mar1;W15.2023
Mar1;W16.2023
Mar1;W17.2023
Mar1;W18.2023
Mar1;W19.2023
Mar1;W20.2023
Mar1;W21.2023
Mar1;W22.2023
Mar1;W23.2023
Mar1;W24.2023
Mar1;W25.2023
Mar1;W26.2023
Mar1;W27.2023
Mar1;W28.2023
Mar1;W29.2023
Mar1;W30.2023
Mar1;W31.2023
Mar1;W32.2023
Mar1;W33.2023
Mar1;W34.2023
Mar1;W35.2023
Mar1;W36.2023
Mar1;W37.2023
Mar1;W38.2023
Mar1;W39.2023
Mar1;W40.2023
Mar1;W41.2023
Mar1;W42.2023
Mar1;W43.2023
Mar1;W44.2023
Mar1;W45.2023
Mar1;W46.2023
Mar1;W47.2023
Mar1;W48.2023
Mar1;W49.2023
Mar1;W50.2023
Mar1;W51.2023
Mar1;W52.2023
Mar2;W01.2022
Mar2;W02.2022
Mar2;W03.2022
Mar2;W04.2022
Mar2;W05.2022
Mar2;W06.2022
Mar2;W07.2022
Mar2;W08.2022
Mar2;W09.2022
Mar2;W10.2022
Mar2;W11.2022
Mar2;W12.2022
Mar2;W13.2022
Mar2;W14.2022
Mar2;W15.2022
Mar2;W16.2022
Mar2;W17.2022
Mar2;W18.2022
Mar2;W19.2022
Mar2;W20.2022
Mar2;W21.2022
Mar2;W22.2022
Mar2;W23.2022
Mar2;W24.2022
Mar2;W25.2022
Mar2;W26.2022
Mar2;W27.2022
Mar2;W28.2022
Mar2;W29.2022
Mar2;W30.2022
Mar2;W31.2022
Mar2;W32.2022
Mar2;W33.2022
Mar2;W34.2022
Mar2;W35.2022
Mar2;W36.2022
Mar2;W37.2022
Mar2;W38.2022
Mar2;W39.2022
Mar2;W40.2022
Mar2;W41.2022
Mar2;W42.2022
Mar2;W43.2022
Mar2;W44.2022
Mar2;W45.2022
Mar2;W46.2022
Mar2;W47.2022
Mar2;W48.2022
Mar2;W49.2022
Mar2;W50.2022
Mar2;W51.2022
Mar2;W52.2022
Mar2;W01.2023
Mar2;W02.2023
Mar2;W03.2023
Mar2;W04.2023
Mar2;W05.2023
Mar2;W06.2023
Mar2;W07.2023
Mar2;W08.2023
Mar2;W09.2023
Mar2;W10.2023
Mar2;W11.2023
Mar2;W12.2023
Mar2;W13.2023
Mar2;W14.2023
Mar2;W15.2023
Mar2;W16.2023
Mar2;W17.2023
Mar2;W18.2023
Mar2;W19.2023
Mar2;W20.2023
Mar2;W21.2023
Mar2;W22.2023
Mar2;W23.2023
Mar2;W24.2023
Mar2;W25.2023
Mar2;W26.2023
Mar2;W27.2023
Mar2;W28.2023
Mar2;W29.2023
Mar2;W30.2023
Mar2;W31.2023
Mar2;W32.2023
Mar2;W33.2023
Mar2;W34.2023
Mar2;W35.2023
Mar2;W36.2023
Mar2;W37.2023
Mar2;W38.2023
Mar2;W39.2023
Mar2;W40.2023
Mar2;W41.2023
Mar2;W42.2023
Mar2;W43.2023
Mar2;W44.2023
Mar2;W45.2023
Mar2;W46.2023
Mar2;W47.2023
Mar2;W48.2023
Mar2;W49.2023
Mar2;W50.2023
Mar2;W51.2023
Mar2;W52.2023
