Fact;Week;Percentage
holiday;W25.2023;0
education;W25.2023;0
net availability;W25.2023;0
gross availability;W26.2023;0
holiday;W26.2023;0
education;W26.2023;0
net availability;W26.2023;0
gross availability;W27.2023;0
holiday;W27.2023;0
education;W27.2023;0
net availability;W27.2023;0
gross availability;W28.2023;0
holiday;W28.2023;0
education;W28.2023;0
net availability;W28.2023;0
gross availability;W29.2023;0
holiday;W29.2023;0
education;W29.2023;0.38
net availability;W29.2023;0.04
gross availability;W30.2023;0.04
holiday;W30.2023;0.26
education;W30.2023;0
net availability;W30.2023;0
gross availability;W31.2023;0
holiday;W31.2023;0
education;W31.2023;0
net availability;W31.2023;0.27
gross availability;W32.2023;0
holiday;W32.2023;0
education;W32.2023;0.14
net availability;W32.2023;0
gross availability;W33.2023;0
holiday;W33.2023;0
education;W33.2023;0
net availability;W33.2023;0
gross availability;W34.2023;0
holiday;W34.2023;0
education;W34.2023;0
net availability;W34.2023;0
gross availability;W35.2023;0
holiday;W35.2023;0
education;W35.2023;0
net availability;W35.2023;0
gross availability;W36.2023;0
holiday;W36.2023;0
education;W36.2023;0
net availability;W36.2023;0.07
gross availability;W37.2023;0
holiday;W37.2023;0
education;W37.2023;0
net availability;W37.2023;0
gross availability;W38.2023;0
holiday;W38.2023;0
education;W38.2023;0
net availability;W38.2023;0
gross availability;W39.2023;0
holiday;W39.2023;0
education;W39.2023;0
net availability;W39.2023;0
gross availability;W40.2023;0
holiday;W40.2023;0
education;W40.2023;0
net availability;W40.2023;0
gross availability;W41.2023;0
holiday;W41.2023;0
education;W41.2023;0
net availability;W41.2023;0.44
gross availability;W42.2023;0.36
holiday;W42.2023;0
education;W42.2023;0
net availability;W42.2023;0
gross availability;W43.2023;0
holiday;W43.2023;0
education;W43.2023;0
net availability;W43.2023;0.27
gross availability;W44.2023;0
holiday;W44.2023;0
education;W44.2023;0
net availability;W44.2023;0
gross availability;W45.2023;0
holiday;W45.2023;0
education;W45.2023;0
net availability;W45.2023;0
gross availability;W46.2023;0
holiday;W46.2023;0
education;W46.2023;0
net availability;W46.2023;0
gross availability;W47.2023;0.11
holiday;W47.2023;0
education;W47.2023;0
net availability;W47.2023;0
gross availability;W48.2023;0
holiday;W48.2023;0
education;W48.2023;0
net availability;W48.2023;0
gross availability;W49.2023;0
holiday;W49.2023;0
education;W49.2023;0
net availability;W49.2023;0
gross availability;W50.2023;0.21
holiday;W50.2023;0
education;W50.2023;0
net availability;W50.2023;0.06
gross availability;W51.2023;0
holiday;W51.2023;0
education;W51.2023;0
net availability;W51.2023;0
gross availability;W52.2023;0.4
holiday;W52.2023;0.1
education;W52.2023;0.15
net availability;W52.2023;0.37
